Campus,StudyField,Branch,Role,EduLevel,ProgLang,Databases,Platform,WebFramework,Industry,AISearch,AITool,Employment
Pretoria Campus,Data Science,I am a developer by profession,"Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;F#;Python;SQL,Microsoft SQL Server;MySQL;PostgreSQL,Microsoft Azure,Unknown,Insurance,Unknown,Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,Data scientist or machine learning specialist,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C#;HTML/CSS;MATLAB;Python;R;SQL,Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;VMware,FastAPI,Advertising Services,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI,"Employed, full-time"
Pretoria Campus,Computer Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;C++;HTML/CSS;JavaScript;PowerShell;TypeScript,Microsoft SQL Server;Oracle;PostgreSQL;SQLite,Amazon Web Services (AWS);Microsoft Azure,Angular;ASP.NET;ASP.NET CORE,Other,Unknown,GitHub Copilot;Mintlify;Replit Ghostwriter,"Independent contractor, freelancer, or self-employed"
Tyger Valley Campus,IT,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Other (please specify):,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",APL;Assembly;Bash/Shell (all shells);C;C#;C++;Cobol;Delphi;Fortran;Go;Java;JavaScript;Julia;Lisp;Objective-C;Perl;PHP;SQL;Swift,MariaDB;MySQL;Oracle,Amazon Web Services (AWS),Unknown,Healthcare,Unknown,Tabnine,"Independent contractor, freelancer, or self-employed"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Go;JavaScript;Python;TypeScript,Unknown,Heroku;Microsoft Azure,Django,Higher Education,Unknown,Mintlify;Synk Code,"Employed, full-time"
Umhlanga Campus,IT,I am a developer by profession,Engineering manager,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;TypeScript,Cosmos DB;Microsoft SQL Server,Microsoft Azure,ASP.NET CORE;Vue.js,Other,Bing AI;ChatGPT,Rubber Duck.AI,"Employed, full-time"
Midrand Campus,Data Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;C#;C++;Haskell;HTML/CSS;JavaScript;Lua;MATLAB;Perl;PHP;Prolog;Python;SQL,Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;SQLite,Unknown,Angular;Django;Flask;Vue.js,Higher Education,WolframAlpha,AWS CodeWhisperer;GitHub Copilot;Mintlify,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Midrand Campus,Computer Science,I code primarily as a hobby,Unknown,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C;C#;HTML/CSS;JavaScript;Lua;Python;Rust,Unknown,Cloudflare;Google Cloud,jQuery;Next.js,Higher Education,Unknown,AWS CodeWhisperer;Whispr AI,"Student, full-time"
Midrand Campus,Data Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript,Firebase Realtime Database;MongoDB,Firebase;Heroku;Netlify;Render;Vercel,Express;Next.js;Node.js;React,Financial Services,ChatGPT,Codeium;Synk Code;Whispr AI,"Employed, part-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Assembly;Bash/Shell (all shells);C;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;PHP;PowerShell;Python;R;Ruby;Rust;Scala;SQL;TypeScript;Visual Basic (.Net),Cosmos DB;Dynamodb;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;IBM Cloud Or Watson;Microsoft Azure;Netlify;Render;Vercel,Deno;Next.js;Node.js;React;Ruby on Rails;Vue.js,Advertising Services,Bing AI;ChatGPT,AWS CodeWhisperer;Codeium;Tabnine;Whispr AI,"Employed, full-time"
Tyger Valley Campus,Data Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;Java;SQL;TypeScript,Elasticsearch;IBM DB2;MariaDB;Microsoft SQL Server;PostgreSQL;Redis,Amazon Web Services (AWS);Microsoft Azure,Angular,Advertising Services,Unknown,GitHub Copilot;Replit Ghostwriter;Tabnine,"Employed, full-time"
Midrand Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Dart;HTML/CSS;JavaScript;Python;SQL;TypeScript,Cloud Firestore;Dynamodb;Microsoft SQL Server;MySQL;SQLite,Amazon Web Services (AWS);Cloudflare;Firebase;Netlify,Angular;ASP.NET;ASP.NET CORE;jQuery;Node.js;React,"Manufacturing, Transportation, or Supply Chain",ChatGPT,GitHub Copilot;Rubber Duck.AI,"Employed, full-time"
Umhlanga Campus,Data Science,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;Perl;PHP;PowerShell;Python;SQL,InfluxDB;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis;Solr;SQLite,Hetzner,Angular;jQuery;Node.js;React;Symfony,"Manufacturing, Transportation, or Supply Chain",Unknown,Rubber Duck.AI;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,Research & Development role,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Java;Python,MongoDB,Unknown,React,Legal Services,Unknown,AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine;Whispr AI,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Nelson Mandela Bay Campus,Data Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;TypeScript,PostgreSQL,Unknown,Angular;Express;Node.js,"Information Services, IT, Software Development, or other Technology",Unknown,AWS CodeWhisperer;Synk Code,"Employed, full-time"
Umhlanga Campus,Computer Science,I am learning to code,Unknown,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",HTML/CSS;JavaScript;Lua;TypeScript,Unknown,Vultr,jQuery;Node.js;React;Svelte,Advertising Services,Unknown,Adrenaline;GitHub Copilot,"Student, full-time"
Pretoria Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Groovy;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,MySQL,Amazon Web Services (AWS),jQuery;Play Framework;React,Retail and Consumer Services,ChatGPT,Adrenaline;GitHub Copilot;Synk Code,"Employed, full-time"
Midrand Campus,IT,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Groovy;Java;JavaScript;Lua;SQL,MySQL;PostgreSQL,Unknown,jQuery;Node.js,"Information Services, IT, Software Development, or other Technology",Unknown,AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI,"Employed, full-time"
Nelson Mandela Bay Campus,IT,I am a developer by profession,Unknown,Primary/elementary school,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;TypeScript,Microsoft Access;Microsoft SQL Server;MySQL;SQLite,Cloudflare;Heroku;Netlify;Oracle Cloud Infrastructure (OCI),ASP.NET;ASP.NET CORE;Blazor;Node.js;React,Wholesale,Bing AI;ChatGPT;WolframAlpha,AWS CodeWhisperer;Whispr AI,"Student, full-time"
Umhlanga Campus,Data Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Java,Microsoft SQL Server,Unknown,Unknown,Wholesale,Unknown,Rubber Duck.AI;Tabnine,"Employed, full-time"
Umhlanga Campus,IT,I am a developer by profession,Engineering manager,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript,Unknown,Unknown,Express;Node.js;React,Financial Services,Unknown,GitHub Copilot,"Employed, full-time"
Pretoria Campus,Data Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, full-stack",Some college/university study without earning a degree,C#;PowerShell;Python,MongoDB;SQLite,Unknown,Unknown,Financial Services,WolframAlpha,Mintlify;Tabnine,"Employed, full-time"
Tyger Valley Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",PHP,MySQL,Cloudflare,Blazor;Elm,"Information Services, IT, Software Development, or other Technology",ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine;Whispr AI,"Independent contractor, freelancer, or self-employed"
Pretoria Campus,Computer Science,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,HTML/CSS;JavaScript;PHP;TypeScript,MariaDB;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase,Angular;AngularJS;CodeIgniter;Laravel,Healthcare,ChatGPT;Google Bard AI,GitHub Copilot;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Midrand Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Bash/Shell (all shells);C;HTML/CSS;JavaScript;PHP;Python;Swift,MySQL;SQLite,Unknown,Unknown,Legal Services,Unknown,Rubber Duck.AI;Tabnine,"Employed, full-time"
Midrand Campus,IT,I am a developer by profession,"Developer, embedded applications or devices",Some college/university study without earning a degree,Bash/Shell (all shells);C;C#;C++,Unknown,Unknown,Unknown,"Information Services, IT, Software Development, or other Technology",Unknown,AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Umhlanga Campus,Computer Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,MongoDB;MySQL;PostgreSQL;SQLite,Digital Ocean;Hetzner;Microsoft Azure,Angular;Django;FastAPI;Gatsby;Node.js;Vue.js,Advertising Services,ChatGPT;WolframAlpha,AWS CodeWhisperer;GitHub Copilot;Synk Code,"Independent contractor, freelancer, or self-employed"
Midrand Campus,Data Science,I am a developer by profession,"Senior Executive (C-Suite, VP, etc.)","Associate degree (A.A., A.S., etc.)",HTML/CSS;JavaScript;PHP;SQL;TypeScript,Firebase Realtime Database;MongoDB;SQLite,Amazon Web Services (AWS);Firebase;OVH,Express;Node.js;React,Higher Education,ChatGPT,Rubber Duck.AI;Tabnine,"Employed, full-time"
Tyger Valley Campus,IT,I am a developer by profession,Data or business analyst,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Go;Java;JavaScript,BigQuery;Oracle;PostgreSQL,Google Cloud,Spring Boot,"Information Services, IT, Software Development, or other Technology",Unknown,Whispr AI,"Employed, full-time"
Umhlanga Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C;C++;HTML/CSS;JavaScript;PHP;SQL,MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Google Cloud,CodeIgniter;jQuery;Laravel;Node.js;React;Vue.js;WordPress,"Information Services, IT, Software Development, or other Technology",Unknown,GitHub Copilot;Replit Ghostwriter;Tabnine,"Employed, full-time"
Pretoria Campus,Data Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C++;Dart;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,MongoDB;MySQL;PostgreSQL,Firebase;Heroku;Netlify,Express;Fastify;Node.js,Oil & Gas,ChatGPT,Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Midrand Campus,IT,I am a developer by profession,Data or business analyst,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Python;SQL,Microsoft SQL Server;Oracle,Unknown,Unknown,Higher Education,Unknown,Adrenaline;Mintlify,"Employed, full-time"
Pretoria Campus,Computer Science,I code primarily as a hobby,Unknown,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Bash/Shell (all shells);HTML/CSS;Java;Kotlin;Python;SQL,MariaDB,Unknown,Unknown,Advertising Services,ChatGPT,Adrenaline;Tabnine,"Student, full-time"
Umhlanga Campus,Data Science,I am a developer by profession,"Developer, back-end",Some college/university study without earning a degree,JavaScript;Kotlin;PHP;Python,Cockroachdb;Elasticsearch;MySQL;Redis,OpenStack,Laravel;NestJS,Advertising Services,Unknown,Tabnine,"Employed, full-time"
Pretoria Campus,Computer Science,I am a developer by profession,"Developer, front-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",HTML/CSS;JavaScript,Unknown,Unknown,React,Advertising Services,ChatGPT;Google Bard AI;Neeva AI;You.com,Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine,"Employed, full-time"
Midrand Campus,Computer Science,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Swift;TypeScript,Elasticsearch;MariaDB;MongoDB;MySQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Firebase,Node.js,Other,ChatGPT,Tabnine,"Employed, full-time"
Tyger Valley Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++;Groovy;Python,Unknown,Unknown,Unknown,Higher Education,Unknown,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI,"Employed, full-time"
Tyger Valley Campus,IT,I am a developer by profession,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;TypeScript,Unknown,Unknown,Angular,Oil & Gas,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Synk Code;Tabnine,"Employed, full-time"
Midrand Campus,IT,I am a developer by profession,Cloud infrastructure engineer,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Go;Java;JavaScript;Python;Rust;TypeScript,Cassandra;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;VMware,Angular;ASP.NET CORE;Django;FastAPI;Flask;Vue.js,Advertising Services,ChatGPT,Adrenaline;GitHub Copilot,"Employed, full-time"
Umhlanga Campus,IT,I am a developer by profession,"Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;TypeScript,MongoDB;PostgreSQL,Unknown,Next.js;React,Wholesale,ChatGPT,GitHub Copilot;Synk Code;Tabnine,"Employed, full-time"
Tyger Valley Campus,Computer Science,I am a developer by profession,Engineering manager,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C#;C++;Java;Lisp;MATLAB;Objective-C;PHP,Cassandra;Couch DB;Dynamodb;InfluxDB;MariaDB;MySQL;PostgreSQL;Redis;SQLite,"Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Linode, now Akamai",Unknown,Financial Services,Unknown,Mintlify,"Employed, full-time"
Midrand Campus,IT,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;Go;HTML/CSS;SQL,PostgreSQL;Redis,Managed Hosting,Angular;ASP.NET CORE;React,Financial Services,Unknown,GitHub Copilot;Mintlify;Replit Ghostwriter,"Employed, full-time"
Midrand Campus,Data Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;MySQL;Redis,Microsoft Azure;Netlify;OpenShift;Vercel;VMware,ASP.NET;ASP.NET CORE;Blazor;Express;jQuery;Next.js;Node.js;React;Spring Boot;Svelte;Vue.js,Advertising Services,ChatGPT,Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine,"Employed, full-time"
Midrand Campus,Data Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;MySQL;Oracle,Amazon Web Services (AWS),Angular;ASP.NET;ASP.NET CORE;Express;jQuery;Node.js;React,"Information Services, IT, Software Development, or other Technology",ChatGPT,Codeium;GitHub Copilot;Tabnine,"Employed, full-time"
Tyger Valley Campus,Computer Science,I am a developer by profession,Designer,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C#;Java;Kotlin;Python;SQL,Microsoft SQL Server;MongoDB,Heroku;VMware,ASP.NET CORE;Spring Boot,Wholesale,ChatGPT;WolframAlpha,AWS CodeWhisperer;Codeium;Tabnine,"Employed, full-time"
Umhlanga Campus,Computer Science,I code primarily as a hobby,Unknown,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL;TypeScript,MariaDB;Microsoft Access;MongoDB,Vercel,Express;jQuery;Next.js;Node.js;React;Vue.js,Financial Services,ChatGPT,Rubber Duck.AI,"Student, part-time"
Nelson Mandela Bay Campus,IT,I am a developer by profession,Unknown,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript;Python,Elasticsearch;MongoDB,Amazon Web Services (AWS);Vercel,Angular;AngularJS;Express;Node.js;React,Advertising Services,Unknown,AWS CodeWhisperer,"Student, full-time"
Umhlanga Campus,Data Science,None of these,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Other,Unknown,GitHub Copilot;Synk Code;Tabnine,Unknown
Nelson Mandela Bay Campus,Data Science,I am learning to code,Unknown,Some college/university study without earning a degree,Python,Unknown,Unknown,Django,Insurance,ChatGPT,Adrenaline;GitHub Copilot;Mintlify;Replit Ghostwriter;Synk Code,"Student, full-time"
Pretoria Campus,Computer Science,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Groovy;Java;JavaScript;Python;TypeScript,Dynamodb;H2;MySQL;Oracle,Amazon Web Services (AWS);VMware,Express;Flask;Node.js;Spring Boot,Financial Services,ChatGPT,Whispr AI,"Employed, full-time"
Midrand Campus,IT,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",HTML/CSS;JavaScript;TypeScript,Cloud Firestore;MongoDB;MySQL;PostgreSQL,Digital Ocean;Firebase;Google Cloud,Express;NestJS;React,Healthcare,ChatGPT;Google Bard AI,Adrenaline;GitHub Copilot;Mintlify;Replit Ghostwriter;Synk Code,"Independent contractor, freelancer, or self-employed;Student, full-time"
Nelson Mandela Bay Campus,Data Science,I am a developer by profession,Other (please specify):,Some college/university study without earning a degree,Ada;C;C++;Go;Java;Lua;Prolog,Neo4J;Oracle;SQLite,Amazon Web Services (AWS);Cloudflare;OVH;VMware,WordPress,Financial Services,Unknown,Codeium;GitHub Copilot;Synk Code,"Independent contractor, freelancer, or self-employed"
Umhlanga Campus,IT,I am a developer by profession,"Developer, front-end",Something else,HTML/CSS;Java;JavaScript;Kotlin;TypeScript,MySQL,Unknown,Unknown,Wholesale,ChatGPT,Rubber Duck.AI;Synk Code,"Employed, full-time"
